Unnamed: 0,title,persons,time,calories,stars,url,image
0,Stoofperencompote,4,15,105,0,https://www.ah.nl/allerhande/recept/R-R1195717/stoofperencompote,https://static.ah.nl/static/recepten/img_RAM_PRD156271_1024x748_JPG.jpg
0,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",4,15,385,0,https://www.ah.nl/allerhande/recept/R-R1195716/traybake-van-peer-varkenslapjes-rode-ui-tijm-en-knolselderij,https://static.ah.nl/static/recepten/img_RAM_PRD156276_1024x748_JPG.jpg
0,Vegan curry van gestoofde groenten met naan,4,40,885,0,https://www.ah.nl/allerhande/recept/R-R1195715/vegan-curry-van-gestoofde-groenten-met-naan,https://static.ah.nl/static/recepten/img_RAM_PRD156241_1024x748_JPG.jpg
0,Hutspot met hertenbiefstuk,4,35,710,0,https://www.ah.nl/allerhande/recept/R-R1195714/hutspot-met-hertenbiefstuk,https://static.ah.nl/static/recepten/img_RAM_PRD156247_1024x748_JPG.jpg
0,Plaattaart met kip en pompoen,4,10,670,0,https://www.ah.nl/allerhande/recept/R-R1195713/plaattaart-met-kip-en-pompoen,https://static.ah.nl/static/recepten/img_RAM_PRD156259_1024x748_JPG.jpg
0,Vega stoofpotje met knolselderij en kastanjechampignons,4,30,650,0,https://www.ah.nl/allerhande/recept/R-R1195712/vega-stoofpotje-met-knolselderij-en-kastanjechampignons,https://static.ah.nl/static/recepten/img_RAM_PRD156277_1024x748_JPG.jpg
0,Wilde rijstsoep met kip,4,20,565,0,https://www.ah.nl/allerhande/recept/R-R1195711/wilde-rijstsoep-met-kip,https://static.ah.nl/static/recepten/img_RAM_PRD156280_1024x748_JPG.jpg
0,"Zuurkoolstamppot met appel, kaneel en bruine suiker",4,30,620,0,https://www.ah.nl/allerhande/recept/R-R1195710/zuurkoolstamppot-met-appel-kaneel-en-bruine-suiker,https://static.ah.nl/static/recepten/img_RAM_PRD156283_1024x748_JPG.jpg
0,Pompoencheesecake met speculaas,12,20,360,0,https://www.ah.nl/allerhande/recept/R-R1195709/pompoencheesecake-met-speculaas,https://static.ah.nl/static/recepten/img_RAM_PRD156260_1024x748_JPG.jpg
0,Franse appelflap (chausson aux pommes),6,30,270,0,https://www.ah.nl/allerhande/recept/R-R1195708/franse-appelflap-chausson-aux-pommes,https://static.ah.nl/static/recepten/img_RAM_PRD156239_1024x748_JPG.jpg
0,Brownies met witte chocolade,12,20,490,0,https://www.ah.nl/allerhande/recept/R-R1195707/brownies-met-witte-chocolade,https://static.ah.nl/static/recepten/img_RAM_PRD156238_1024x748_JPG.jpg
0,Meringuespoken,10,30,95,0,https://www.ah.nl/allerhande/recept/R-R1195706/meringuespoken,https://static.ah.nl/static/recepten/img_RAM_PRD156254_1024x748_JPG.jpg
0,Zandkoekjes met glazuur 'bloedspetters' ,24,20,125,0,https://www.ah.nl/allerhande/recept/R-R1195705/zandkoekjes-met-glazuur-bloedspetters,https://static.ah.nl/static/recepten/img_RAM_PRD156282_1024x748_JPG.jpg
0,Oesterzwambitterballen,28,60,140,0,https://www.ah.nl/allerhande/recept/R-R1195704/oesterzwambitterballen,https://static.ah.nl/static/recepten/img_RAM_PRD156256_1024x748_JPG.jpg
0,Mini pizza's met boerenkool en spek,18,20,135,0,https://www.ah.nl/allerhande/recept/R-R1195703/mini-pizza-s-met-boerenkool-en-spek,https://static.ah.nl/static/recepten/img_RAM_PRD156255_1024x748_JPG.jpg
0,Whipped blauwe kaas met knapperige rauwkost,4,20,415,0,https://www.ah.nl/allerhande/recept/R-R1195702/whipped-blauwe-kaas-met-knapperige-rauwkost,https://static.ah.nl/static/recepten/img_RAM_PRD156279_1024x748_JPG.jpg
0,Fish pie,4,30,570,0,https://www.ah.nl/allerhande/recept/R-R1195701/fish-pie,https://static.ah.nl/static/recepten/img_RAM_PRD156243_1024x748_JPG.jpg
0,Kleine pasteitjes gevuld met aardappel,12,40,375,0,https://www.ah.nl/allerhande/recept/R-R1195700/kleine-pasteitjes-gevuld-met-aardappel,https://static.ah.nl/static/recepten/img_RAM_PRD156250_1024x748_JPG.jpg
0,Stoofvleespastei,6,30,575,0,https://www.ah.nl/allerhande/recept/R-R1195699/stoofvleespastei,https://static.ah.nl/static/recepten/img_RAM_PRD156273_1024x748_JPG.jpg
0,Snelle risotto porcini,4,15,625,0,https://www.ah.nl/allerhande/recept/R-R1195695/snelle-risotto-porcini,https://static.ah.nl/static/recepten/img_RAM_PRD156267_1024x748_JPG.jpg
0,"Stamppot boerenkool met geroosterde pompoen, spek en walnoten",4,20,810,0,https://www.ah.nl/allerhande/recept/R-R1195694/stamppot-boerenkool-met-geroosterde-pompoen-spek-en-walnoten,https://static.ah.nl/static/recepten/img_RAM_PRD156270_1024x748_JPG.jpg
0,Geroosterde pompoen met boerenkool en walnoten,8,5,345,0,https://www.ah.nl/allerhande/recept/R-R1195693/geroosterde-pompoen-met-boerenkool-en-walnoten,https://static.ah.nl/static/recepten/img_RAM_PRD156244_1024x748_JPG.jpg
0,"Rijst met vegaballetjes, boerenkool, knoflook en tomatensaus",4,15,725,0,https://www.ah.nl/allerhande/recept/R-R1195692/rijst-met-vegaballetjes-boerenkool-knoflook-en-tomatensaus,https://static.ah.nl/static/recepten/img_RAM_PRD156265_1024x748_JPG.jpg
0,"Pasta met geroosterde pompoen met boerenkool, walnoten en tahin",4,15,890,0,https://www.ah.nl/allerhande/recept/R-R1195691/pasta-met-geroosterde-pompoen-met-boerenkool-walnoten-en-tahin,https://static.ah.nl/static/recepten/img_RAM_PRD156258_1024x748_JPG.jpg
0,"Pulled chicken met tortilla's, bonen en avocado",4,20,655,0,https://www.ah.nl/allerhande/recept/R-R1195689/pulled-chicken-met-tortilla-s-bonen-en-avocado,https://static.ah.nl/static/recepten/img_RAM_PRD156263_1024x748_JPG.jpg
0,Kipfilet in bouillon ,8,15,115,0,https://www.ah.nl/allerhande/recept/R-R1195688/kipfilet-in-bouillon,https://static.ah.nl/static/recepten/img_RAM_PRD156248_1024x748_JPG.jpg
0,Groentesoep met kip en rijst,4,15,560,0,https://www.ah.nl/allerhande/recept/R-R1195687/groentesoep-met-kip-en-rijst,https://static.ah.nl/static/recepten/img_RAM_PRD156246_1024x748_JPG.jpg
0,"Traybake met kippendij, sinaasappelglaze en brocccoli",4,15,670,0,https://www.ah.nl/allerhande/recept/R-R1195686/traybake-met-kippendij-sinaasappelglaze-en-brocccoli,https://static.ah.nl/static/recepten/img_RAM_PRD156274_1024x748_JPG.jpg
0,Linzenstoof met gepocheerde eieren,4,25,480,0,https://www.ah.nl/allerhande/recept/R-R1195685/linzenstoof-met-gepocheerde-eieren,https://static.ah.nl/static/recepten/img_RAM_PRD156253_1024x748_JPG.jpg
0,Pompoenlasagne XL met geitenkaas,8,25,590,0,https://www.ah.nl/allerhande/recept/R-R1195684/pompoenlasagne-xl-met-geitenkaas,https://static.ah.nl/static/recepten/img_RAM_PRD156261_1024x748_JPG.jpg
0,Ovenschotel met chipolata en knolselderij,4,30,630,0,https://www.ah.nl/allerhande/recept/R-R1195683/ovenschotel-met-chipolata-en-knolselderij,https://static.ah.nl/static/recepten/img_RAM_PRD156257_1024x748_JPG.jpg
0,Stoofvlees met zoete-aardappelfriet en rodekoolsalade,4,20,475,0,https://www.ah.nl/allerhande/recept/R-R1195682/stoofvlees-met-zoete-aardappelfriet-en-rodekoolsalade,https://static.ah.nl/static/recepten/img_RAM_PRD156272_1024x748_JPG.jpg
0,"Spaghetti met tartaar, tomaat en wortel",4,30,615,0,https://www.ah.nl/allerhande/recept/R-R1195681/spaghetti-met-tartaar-tomaat-en-wortel,https://static.ah.nl/static/recepten/img_RAM_PRD156268_1024x748_JPG.jpg
0,Biefstuk met romige paddenstoelenjus (advertorial),4,35,580,0,https://www.ah.nl/allerhande/recept/R-R1195680/biefstuk-met-romige-paddenstoelenjus-advertorial,https://static.ah.nl/static/recepten/img_RAM_PRD156235_1024x748_JPG.jpg
0,Gestoofde pompoen met puntpaprika en kidneybonen (advertorial),4,30,255,0,https://www.ah.nl/allerhande/recept/R-R1195678/gestoofde-pompoen-met-puntpaprika-en-kidneybonen-advertorial,https://static.ah.nl/static/recepten/img_RAM_PRD156245_1024x748_JPG.jpg
0,Lasagne met chipolata en champignons (advertorial),4,25,740,0,https://www.ah.nl/allerhande/recept/R-R1195677/lasagne-met-chipolata-en-champignons-advertorial,https://static.ah.nl/static/recepten/img_RAM_PRD156291_1024x748_JPG.jpg
0,"Wortelwraps met kikkererwten, paprika en tzatziki (advertorial)",4,15,280,0,https://www.ah.nl/allerhande/recept/R-R1195676/wortelwraps-met-kikkererwten-paprika-en-tzatziki-advertorial,https://static.ah.nl/static/recepten/img_RAM_PRD156281_1024x748_JPG.jpg
0,"Bio pasta met garnalen, feta en tomatensaus (advertorial)",4,15,615,0,https://www.ah.nl/allerhande/recept/R-R1195675/bio-pasta-met-garnalen-feta-en-tomatensaus-advertorial,https://static.ah.nl/static/recepten/img_RAM_PRD156236_1024x748_JPG.jpg
0,Börek met spinazie en feta,10,30,180,0,https://www.ah.nl/allerhande/recept/R-R1195674/borek-met-spinazie-en-feta,https://static.ah.nl/static/recepten/img_RAM_PRD156221_1024x748_JPG.jpg
0,Vegan 'pecan pie' bars,9,15,340,0,https://www.ah.nl/allerhande/recept/R-R1195673/vegan-pecan-pie-bars,https://static.ah.nl/static/recepten/img_RAM_PRD156224_1024x748_JPG.jpg
0,Aardappelkoekjes met paddenstoelen ,12,40,195,0,https://www.ah.nl/allerhande/recept/R-R1195672/aardappelkoekjes-met-paddenstoelen,https://static.ah.nl/static/recepten/img_RAM_PRD156222_1024x748_JPG.jpg
0,Pumpkin spice baked oats,4,20,290,0,https://www.ah.nl/allerhande/recept/R-R1195671/pumpkin-spice-baked-oats,https://static.ah.nl/static/recepten/img_RAM_PRD156223_1024x748_JPG.jpg
0,"Havermout met peer, dadels en walnoten",4,20,370,0,https://www.ah.nl/allerhande/recept/R-R1195670/havermout-met-peer-dadels-en-walnoten,https://static.ah.nl/static/recepten/img_RAM_PRD156610_1024x748_JPG.jpg
0,Romige bloemkooldip met snoepgroente en witlof,4,10,115,0,https://www.ah.nl/allerhande/recept/R-R1195669/romige-bloemkooldip-met-snoepgroente-en-witlof,https://static.ah.nl/static/recepten/img_RAM_PRD156618_1024x748_JPG.jpg
0,"Volkorensandwich met rode ui, spinazie en cottage cheese",4,15,335,0,https://www.ah.nl/allerhande/recept/R-R1195668/volkorensandwich-met-rode-ui-spinazie-en-cottage-cheese,https://static.ah.nl/static/recepten/img_RAM_PRD156626_1024x748_JPG.jpg
0,"Lasagne met champignons, tomaat en mozzarella",4,30,630,0,https://www.ah.nl/allerhande/recept/R-R1195667/lasagne-met-champignons-tomaat-en-mozzarella,https://static.ah.nl/static/recepten/img_RAM_PRD156613_1024x748_JPG.jpg
0,Volkorenbrood met 100% pindakaas en appel,4,5,380,0,https://www.ah.nl/allerhande/recept/R-R1195666/volkorenbrood-met-100-pindakaas-en-appel,https://static.ah.nl/static/recepten/img_RAM_PRD156621_1024x748_JPG.jpg
0,Gevulde komkommer met walnoten-geitenkaasspread,4,5,125,0,https://www.ah.nl/allerhande/recept/R-R1195665/gevulde-komkommer-met-walnoten-geitenkaasspread,https://static.ah.nl/static/recepten/img_RAM_PRD156608_1024x748_JPG.jpg
0,Kaasomelet met frisse courgettesalade,4,15,380,0,https://www.ah.nl/allerhande/recept/R-R1195664/kaasomelet-met-frisse-courgettesalade,https://static.ah.nl/static/recepten/img_RAM_PRD156611_1024x748_JPG.jpg
0,Preistamppot met runderballetjes in kerriesaus,4,25,570,0,https://www.ah.nl/allerhande/recept/R-R1195663/preistamppot-met-runderballetjes-in-kerriesaus,https://static.ah.nl/static/recepten/img_RAM_PRD156617_1024x748_JPG.jpg
0,"Magere kwark met mango, kiwi en amandelen",4,10,335,0,https://www.ah.nl/allerhande/recept/R-R1195662/magere-kwark-met-mango-kiwi-en-amandelen,https://static.ah.nl/static/recepten/img_RAM_PRD156614_1024x748_JPG.jpg
0,No bake carrotballs met dadels,10,20,90,0,https://www.ah.nl/allerhande/recept/R-R1195661/no-bake-carrotballs-met-dadels,https://static.ah.nl/static/recepten/img_RAM_PRD156615_1024x748_JPG.jpg
0,Volkorentosti met kaas en paprika,4,15,395,0,https://www.ah.nl/allerhande/recept/R-R1195660/volkorentosti-met-kaas-en-paprika,https://static.ah.nl/static/recepten/img_RAM_PRD156628_1024x748_JPG.jpg
0,"Geroosterde groente met aardappelpartjes, kip en sinaasappel ",4,15,510,0,https://www.ah.nl/allerhande/recept/R-R1195659/geroosterde-groente-met-aardappelpartjes-kip-en-sinaasappel,https://static.ah.nl/static/recepten/img_RAM_PRD156607_1024x748_JPG.jpg
0,Volkoren overnight oats met bramen,4,5,355,0,https://www.ah.nl/allerhande/recept/R-R1195658/volkoren-overnight-oats-met-bramen,https://static.ah.nl/static/recepten/img_RAM_PRD156619_1024x748_JPG.jpg
0,Volkorenknäckebröd met tomaat en eikruim,8,10,95,0,https://www.ah.nl/allerhande/recept/R-R1195657/volkorenknackebrod-met-tomaat-en-eikruim,https://static.ah.nl/static/recepten/img_RAM_PRD156623_1024x748_JPG.jpg
0,Wortelsoep met muntyoghurt en volkorenpita,4,20,440,0,https://www.ah.nl/allerhande/recept/R-R1195656/wortelsoep-met-muntyoghurt-en-volkorenpita,https://static.ah.nl/static/recepten/img_RAM_PRD156630_1024x748_JPG.jpg
0,"Volkorenpasta met tuinertwensaus, tomaat en makreel",4,20,630,0,https://www.ah.nl/allerhande/recept/R-R1195655/volkorenpasta-met-tuinertwensaus-tomaat-en-makreel,https://static.ah.nl/static/recepten/img_RAM_PRD156624_1024x748_JPG.jpg
0,"Volkorenbrood met zuivelspread, banaan en amandelschaafsel",4,5,385,0,https://www.ah.nl/allerhande/recept/R-R1195654/volkorenbrood-met-zuivelspread-banaan-en-amandelschaafsel,https://static.ah.nl/static/recepten/img_RAM_PRD156622_1024x748_JPG.jpg
0,"Courgettespiesjes met kaas, cherrytomaat en basillicum",32,15,20,0,https://www.ah.nl/allerhande/recept/R-R1195653/courgettespiesjes-met-kaas-cherrytomaat-en-basillicum,https://static.ah.nl/static/recepten/img_RAM_PRD156605_1024x748_JPG.jpg
