Unnamed: 0,recipe,nutrition,value
34060,Romige spaghetti met pangrattato,vet,18 g
34061,Romige spaghetti met pangrattato,waarvan verzadigd,7 g
34062,Romige spaghetti met pangrattato,vezels,7 g
34063,Quinoa met groenten en tonijn,energie,355 kcal
34064,Quinoa met groenten en tonijn,koolhydraten,37 g
34065,Quinoa met groenten en tonijn,natrium,1440 mg
34066,Quinoa met groenten en tonijn,eiwit,21 g
34067,Quinoa met groenten en tonijn,vet,11 g
34068,Quinoa met groenten en tonijn,waarvan verzadigd,2 g
34069,Quinoa met groenten en tonijn,vezels,11 g
34070,Indiase curry met biefstukpuntjes,energie,640 kcal
34071,Indiase curry met biefstukpuntjes,koolhydraten,63 g
34072,Indiase curry met biefstukpuntjes,natrium,62 mg
34073,Indiase curry met biefstukpuntjes,eiwit,30 g
34074,Indiase curry met biefstukpuntjes,vet,28 g
34075,Indiase curry met biefstukpuntjes,waarvan verzadigd,16 g
34076,Indiase curry met biefstukpuntjes,vezels,6 g
34077,Witlofsalade met masaladressing,energie,550 kcal
34078,Witlofsalade met masaladressing,koolhydraten,55 g
34079,Witlofsalade met masaladressing,natrium,330 mg
34080,Witlofsalade met masaladressing,eiwit,21 g
34081,Witlofsalade met masaladressing,vet,25 g
34082,Witlofsalade met masaladressing,waarvan verzadigd,9 g
34083,Witlofsalade met masaladressing,vezels,7 g
34084,Pastasalade met Parrano snippers,energie,530 kcal
34085,Pastasalade met Parrano snippers,koolhydraten,56 g
34086,Pastasalade met Parrano snippers,natrium,1180 mg
34087,Pastasalade met Parrano snippers,eiwit,20 g
34088,Pastasalade met Parrano snippers,vet,24 g
34089,Pastasalade met Parrano snippers,waarvan verzadigd,7 g
34090,Pastasalade met Parrano snippers,vezels,4 g
34091,Kipdijstoof met couscous,energie,620 kcal
34092,Kipdijstoof met couscous,koolhydraten,65 g
34093,Kipdijstoof met couscous,natrium,200 mg
34094,Kipdijstoof met couscous,eiwit,34 g
34095,Kipdijstoof met couscous,vet,23 g
34096,Kipdijstoof met couscous,waarvan verzadigd,5 g
34097,Kipdijstoof met couscous,vezels,8 g
34098,Pannenkoeken van hüttenkäse,energie,455 kcal
34099,Pannenkoeken van hüttenkäse,koolhydraten,33 g
34100,Pannenkoeken van hüttenkäse,natrium,435 mg
34101,Pannenkoeken van hüttenkäse,eiwit,20 g
34102,Pannenkoeken van hüttenkäse,vet,26 g
34103,Pannenkoeken van hüttenkäse,waarvan verzadigd,8 g
34104,Pannenkoeken van hüttenkäse,vezels,2 g
34105,Falafel wrap met frisse tomatensalade,energie,600 kcal
34106,Falafel wrap met frisse tomatensalade,koolhydraten,57 g
34107,Falafel wrap met frisse tomatensalade,natrium,930 mg
34108,Falafel wrap met frisse tomatensalade,eiwit,17 g
34109,Falafel wrap met frisse tomatensalade,vet,31 g
34110,Falafel wrap met frisse tomatensalade,waarvan verzadigd,4 g
34111,Falafel wrap met frisse tomatensalade,vezels,11 g
34112,Gegrilde biefstuk met frisse lentesalade,energie,695 kcal
34113,Gegrilde biefstuk met frisse lentesalade,koolhydraten,70 g
34114,Gegrilde biefstuk met frisse lentesalade,natrium,320 mg
34115,Gegrilde biefstuk met frisse lentesalade,eiwit,39 g
34116,Gegrilde biefstuk met frisse lentesalade,vet,27 g
34117,Gegrilde biefstuk met frisse lentesalade,waarvan verzadigd,4 g
34118,Gegrilde biefstuk met frisse lentesalade,vezels,8 g
34119,Kleurrijke pompoen-paprika-chorizostoof,energie,585 kcal
34120,Kleurrijke pompoen-paprika-chorizostoof,koolhydraten,66 g
34121,Kleurrijke pompoen-paprika-chorizostoof,natrium,880 mg
34122,Kleurrijke pompoen-paprika-chorizostoof,eiwit,22 g
34123,Kleurrijke pompoen-paprika-chorizostoof,vet,25 g
34124,Kleurrijke pompoen-paprika-chorizostoof,waarvan verzadigd,10 g
34125,Kleurrijke pompoen-paprika-chorizostoof,vezels,4 g
34126,Gnocchi met aubergine al formaggio,energie,660 kcal
34127,Gnocchi met aubergine al formaggio,koolhydraten,101 g
34128,Gnocchi met aubergine al formaggio,natrium,2355 mg
34129,Gnocchi met aubergine al formaggio,eiwit,25 g
34130,Gnocchi met aubergine al formaggio,vet,15 g
34131,Gnocchi met aubergine al formaggio,waarvan verzadigd,10 g
34132,Gnocchi met aubergine al formaggio,vezels,7 g
34133,Moshik Roths gestoomde dimsums gevuld met groentegehakt,energie,575 kcal
34134,Moshik Roths gestoomde dimsums gevuld met groentegehakt,koolhydraten,79 g
34135,Moshik Roths gestoomde dimsums gevuld met groentegehakt,natrium,1850 mg
34136,Moshik Roths gestoomde dimsums gevuld met groentegehakt,eiwit,17 g
34137,Moshik Roths gestoomde dimsums gevuld met groentegehakt,vet,20 g
34138,Moshik Roths gestoomde dimsums gevuld met groentegehakt,waarvan verzadigd,4 g
34139,Moshik Roths gestoomde dimsums gevuld met groentegehakt,vezels,5 g
34140,Runderchipolataworstjes met knolselderijpuree,energie,510 kcal
34141,Runderchipolataworstjes met knolselderijpuree,koolhydraten,28 g
34142,Runderchipolataworstjes met knolselderijpuree,natrium,895 mg
34143,Runderchipolataworstjes met knolselderijpuree,eiwit,30 g
34144,Runderchipolataworstjes met knolselderijpuree,vet,28 g
34145,Runderchipolataworstjes met knolselderijpuree,waarvan verzadigd,13 g
34146,Runderchipolataworstjes met knolselderijpuree,vezels,13 g
34147,Kabeljauwburger met mediterrane groenten,energie,765 kcal
34148,Kabeljauwburger met mediterrane groenten,koolhydraten,64 g
34149,Kabeljauwburger met mediterrane groenten,natrium,1200 mg
34150,Kabeljauwburger met mediterrane groenten,eiwit,26 g
34151,Kabeljauwburger met mediterrane groenten,vet,44 g
34152,Kabeljauwburger met mediterrane groenten,waarvan verzadigd,9 g
34153,Kabeljauwburger met mediterrane groenten,vezels,8 g
34154,"Kruidige curry met kip, zoete aardappel en boontjes",energie,775 kcal
34155,"Kruidige curry met kip, zoete aardappel en boontjes",koolhydraten,83 g
34156,"Kruidige curry met kip, zoete aardappel en boontjes",natrium,130 mg
34157,"Kruidige curry met kip, zoete aardappel en boontjes",eiwit,32 g
34158,"Kruidige curry met kip, zoete aardappel en boontjes",vet,33 g
34159,"Kruidige curry met kip, zoete aardappel en boontjes",waarvan verzadigd,18 g
34160,"Kruidige curry met kip, zoete aardappel en boontjes",vezels,10 g
34161,Thaise viskoekjes van Bart van Olphen,energie,320 kcal
34162,Thaise viskoekjes van Bart van Olphen,koolhydraten,17 g
34163,Thaise viskoekjes van Bart van Olphen,natrium,1215 mg
34164,Thaise viskoekjes van Bart van Olphen,eiwit,26 g
34165,Thaise viskoekjes van Bart van Olphen,vet,16 g
34166,Thaise viskoekjes van Bart van Olphen,waarvan verzadigd,3 g
34167,Thaise viskoekjes van Bart van Olphen,vezels,2 g
34168,Mediterrane worst met ovengroenten,energie,625 kcal
34169,Mediterrane worst met ovengroenten,koolhydraten,51 g
34170,Mediterrane worst met ovengroenten,natrium,560 mg
34171,Mediterrane worst met ovengroenten,eiwit,28 g
34172,Mediterrane worst met ovengroenten,vet,33 g
34173,Mediterrane worst met ovengroenten,waarvan verzadigd,10 g
34174,Mediterrane worst met ovengroenten,vezels,7 g
34175,Penne met zalm en romige spinazie,energie,695 kcal
34176,Penne met zalm en romige spinazie,koolhydraten,64 g
34177,Penne met zalm en romige spinazie,natrium,475 mg
34178,Penne met zalm en romige spinazie,eiwit,32 g
34179,Penne met zalm en romige spinazie,vet,33 g
34180,Penne met zalm en romige spinazie,waarvan verzadigd,10 g
34181,Penne met zalm en romige spinazie,vezels,6 g
34182,Rijkgevulde maaltijdsoep met citroengras en gember,energie,600 kcal
34183,Rijkgevulde maaltijdsoep met citroengras en gember,koolhydraten,79 g
34184,Rijkgevulde maaltijdsoep met citroengras en gember,natrium,1800 mg
34185,Rijkgevulde maaltijdsoep met citroengras en gember,eiwit,36 g
34186,Rijkgevulde maaltijdsoep met citroengras en gember,vet,14 g
34187,Rijkgevulde maaltijdsoep met citroengras en gember,waarvan verzadigd,4 g
34188,Rijkgevulde maaltijdsoep met citroengras en gember,vezels,5 g
34189,Quinoa-havermoutpap met framboos en aardbei,energie,275 kcal
34190,Quinoa-havermoutpap met framboos en aardbei,koolhydraten,37 g
34191,Quinoa-havermoutpap met framboos en aardbei,natrium,215 mg
34192,Quinoa-havermoutpap met framboos en aardbei,eiwit,9 g
34193,Quinoa-havermoutpap met framboos en aardbei,vet,9 g
34194,Quinoa-havermoutpap met framboos en aardbei,waarvan verzadigd,1 g
34195,Quinoa-havermoutpap met framboos en aardbei,vezels,5 g
34196,Choco-havermoutpap met banaan en hazelnoot,energie,415 kcal
34197,Choco-havermoutpap met banaan en hazelnoot,koolhydraten,50 g
34198,Choco-havermoutpap met banaan en hazelnoot,natrium,80 mg
34199,Choco-havermoutpap met banaan en hazelnoot,eiwit,14 g
34200,Choco-havermoutpap met banaan en hazelnoot,vet,16 g
34201,Choco-havermoutpap met banaan en hazelnoot,waarvan verzadigd,4 g
34202,Choco-havermoutpap met banaan en hazelnoot,vezels,8 g
34203,Tosti makreel-avocado,energie,580 kcal
34204,Tosti makreel-avocado,koolhydraten,30 g
34205,Tosti makreel-avocado,natrium,665 mg
34206,Tosti makreel-avocado,eiwit,22 g
34207,Tosti makreel-avocado,vet,40 g
34208,Tosti makreel-avocado,waarvan verzadigd,14 g
34209,Tosti makreel-avocado,vezels,5 g
34210,Tosti geitenkaas-honingraat,energie,410 kcal
34211,Tosti geitenkaas-honingraat,koolhydraten,40 g
34212,Tosti geitenkaas-honingraat,natrium,445 mg
34213,Tosti geitenkaas-honingraat,eiwit,11 g
34214,Tosti geitenkaas-honingraat,vet,22 g
34215,Tosti geitenkaas-honingraat,waarvan verzadigd,9 g
34216,Tosti geitenkaas-honingraat,vezels,4 g
34217,Tosti truffel-salami,energie,380 kcal
34218,Tosti truffel-salami,koolhydraten,29 g
34219,Tosti truffel-salami,natrium,610 mg
34220,Tosti truffel-salami,eiwit,18 g
34221,Tosti truffel-salami,vet,20 g
34222,Tosti truffel-salami,waarvan verzadigd,12 g
34223,Tosti truffel-salami,vezels,5 g
34224,Raapstelenstamppot met beefburger,energie,705 kcal
34225,Raapstelenstamppot met beefburger,koolhydraten,70 g
34226,Raapstelenstamppot met beefburger,natrium,1640 mg
34227,Raapstelenstamppot met beefburger,eiwit,30 g
34228,Raapstelenstamppot met beefburger,vet,32 g
34229,Raapstelenstamppot met beefburger,waarvan verzadigd,18 g
34230,Raapstelenstamppot met beefburger,vezels,7 g
34231,American pancakes met macadamia nut brittle ijs,energie,545 kcal
34232,American pancakes met macadamia nut brittle ijs,koolhydraten,51 g
34233,American pancakes met macadamia nut brittle ijs,natrium,375 mg
34234,American pancakes met macadamia nut brittle ijs,eiwit,7 g
34235,American pancakes met macadamia nut brittle ijs,vet,34 g
34236,American pancakes met macadamia nut brittle ijs,waarvan verzadigd,23 g
34237,American pancakes met macadamia nut brittle ijs,vezels,3 g
34238,Jeroen Veldkamps frozen Irish coffee,energie,95 kcal
34239,Jeroen Veldkamps frozen Irish coffee,koolhydraten,9 g
34240,Jeroen Veldkamps frozen Irish coffee,natrium,10 mg
34241,Jeroen Veldkamps frozen Irish coffee,eiwit,1 g
34242,Jeroen Veldkamps frozen Irish coffee,vet,1 g
34243,Jeroen Veldkamps frozen Irish coffee,waarvan verzadigd,1 g
34244,Jeroen Veldkamps frozen coffee,energie,120 kcal
34245,Jeroen Veldkamps frozen coffee,koolhydraten,18 g
34246,Jeroen Veldkamps frozen coffee,natrium,40 mg
34247,Jeroen Veldkamps frozen coffee,eiwit,4 g
34248,Jeroen Veldkamps frozen coffee,vet,4 g
34249,Jeroen Veldkamps frozen coffee,waarvan verzadigd,2 g
34250,Jeroen Veldkamps bonbonkoffie,energie,35 kcal
34251,Jeroen Veldkamps bonbonkoffie,koolhydraten,6 g
34252,Jeroen Veldkamps bonbonkoffie,natrium,10 mg
34253,Jeroen Veldkamps bonbonkoffie,eiwit,1 g
34254,Jeroen Veldkamps bonbonkoffie,vet,1 g
34255,Jeroen Veldkamps bonbonkoffie,waarvan verzadigd,0.5 g
34256,Jeroen Velkamps espresso martini,energie,125 kcal
34257,Jeroen Velkamps espresso martini,koolhydraten,16 g
34258,Jeroen Velkamps espresso martini,natrium,10 mg
34259,Lentegroenten met geitenkaas-honingraatdip,energie,135 kcal
34260,Lentegroenten met geitenkaas-honingraatdip,koolhydraten,5 g
34261,Lentegroenten met geitenkaas-honingraatdip,natrium,195 mg
34262,Lentegroenten met geitenkaas-honingraatdip,eiwit,6 g
34263,Lentegroenten met geitenkaas-honingraatdip,vet,10 g
34264,Lentegroenten met geitenkaas-honingraatdip,waarvan verzadigd,7 g
34265,Lentegroenten met geitenkaas-honingraatdip,vezels,1 g
34266,Zweedse gehaktballetjes met room,energie,640 kcal
34267,Zweedse gehaktballetjes met room,koolhydraten,26 g
34268,Zweedse gehaktballetjes met room,natrium,520 mg
34269,Zweedse gehaktballetjes met room,eiwit,33 g
34270,Zweedse gehaktballetjes met room,vet,45 g
34271,Zweedse gehaktballetjes met room,waarvan verzadigd,22 g
34272,Zweedse gehaktballetjes met room,vezels,2 g
34273,Aardappel-bietenrösti met vega-kipragout,energie,205 kcal
34274,Aardappel-bietenrösti met vega-kipragout,koolhydraten,22 g
34275,Aardappel-bietenrösti met vega-kipragout,natrium,405 mg
34276,Aardappel-bietenrösti met vega-kipragout,eiwit,11 g
34277,Aardappel-bietenrösti met vega-kipragout,vet,7 g
34278,Aardappel-bietenrösti met vega-kipragout,waarvan verzadigd,1 g
34279,Aardappel-bietenrösti met vega-kipragout,vezels,5 g
34280,Ovenschotel met vegagehakt en sperziebonen ,energie,465 kcal
34281,Ovenschotel met vegagehakt en sperziebonen ,koolhydraten,58 g
34282,Ovenschotel met vegagehakt en sperziebonen ,natrium,555 mg
34283,Ovenschotel met vegagehakt en sperziebonen ,eiwit,24 g
34284,Ovenschotel met vegagehakt en sperziebonen ,vet,12 g
34285,Ovenschotel met vegagehakt en sperziebonen ,waarvan verzadigd,2 g
34286,Ovenschotel met vegagehakt en sperziebonen ,vezels,15 g
34287,Knapperig gebakken tofu in zoete-aardappelcurry,energie,895 kcal
34288,Knapperig gebakken tofu in zoete-aardappelcurry,koolhydraten,99 g
34289,Knapperig gebakken tofu in zoete-aardappelcurry,natrium,980 mg
34290,Knapperig gebakken tofu in zoete-aardappelcurry,eiwit,28 g
34291,Knapperig gebakken tofu in zoete-aardappelcurry,vet,40 g
34292,Knapperig gebakken tofu in zoete-aardappelcurry,waarvan verzadigd,19 g
34293,Knapperig gebakken tofu in zoete-aardappelcurry,vezels,13 g
34294,Mara Grimm shakshuka (tomatenstoof met ei &amp; venkel),energie,385 kcal
34295,Mara Grimm shakshuka (tomatenstoof met ei &amp; venkel),koolhydraten,45 g
34296,Mara Grimm shakshuka (tomatenstoof met ei &amp; venkel),natrium,485 mg
34297,Mara Grimm shakshuka (tomatenstoof met ei &amp; venkel),eiwit,16 g
34298,Mara Grimm shakshuka (tomatenstoof met ei &amp; venkel),vet,14 g
34299,Mara Grimm shakshuka (tomatenstoof met ei &amp; venkel),waarvan verzadigd,3 g
34300,Mara Grimm shakshuka (tomatenstoof met ei &amp; venkel),vezels,6 g
34301,Mara Grimms sabich (pitasandwich met aubergine en ei),energie,800 kcal
34302,Mara Grimms sabich (pitasandwich met aubergine en ei),koolhydraten,59 g
34303,Mara Grimms sabich (pitasandwich met aubergine en ei),natrium,1070 mg
34304,Mara Grimms sabich (pitasandwich met aubergine en ei),eiwit,23 g
34305,Mara Grimms sabich (pitasandwich met aubergine en ei),vet,50 g
34306,Mara Grimms sabich (pitasandwich met aubergine en ei),waarvan verzadigd,8 g
34307,Mara Grimms sabich (pitasandwich met aubergine en ei),vezels,10 g
34308,Mara Grimms virgin bloody Mary (alcoholvrije groentecocktail),energie,75 kcal
34309,Mara Grimms virgin bloody Mary (alcoholvrije groentecocktail),koolhydraten,14 g
34310,Mara Grimms virgin bloody Mary (alcoholvrije groentecocktail),natrium,560 mg
34311,Mara Grimms virgin bloody Mary (alcoholvrije groentecocktail),eiwit,2 g
34312,Mara Grimms virgin bloody Mary (alcoholvrije groentecocktail),vezels,2 g
34313,Biogarde met sinaasappel en kaneel,energie,220 kcal
34314,Biogarde met sinaasappel en kaneel,koolhydraten,36 g
34315,Biogarde met sinaasappel en kaneel,natrium,100 mg
34316,Biogarde met sinaasappel en kaneel,eiwit,7 g
34317,Biogarde met sinaasappel en kaneel,vet,5 g
34318,Biogarde met sinaasappel en kaneel,waarvan verzadigd,4 g
34319,Biogarde met sinaasappel en kaneel,vezels,1 g
34320,Yoghurt met tuttifrutti en blauwe bessen,energie,325 kcal
34321,Yoghurt met tuttifrutti en blauwe bessen,koolhydraten,52 g
34322,Yoghurt met tuttifrutti en blauwe bessen,natrium,95 mg
34323,Yoghurt met tuttifrutti en blauwe bessen,eiwit,20 g
34324,Yoghurt met tuttifrutti en blauwe bessen,vet,2 g
34325,Yoghurt met tuttifrutti en blauwe bessen,waarvan verzadigd,1 g
34326,Yoghurt met tuttifrutti en blauwe bessen,vezels,9 g
34327,Romige yoghurt met zomerfruit en honing,energie,145 kcal
34328,Romige yoghurt met zomerfruit en honing,koolhydraten,22 g
34329,Romige yoghurt met zomerfruit en honing,natrium,30 mg
34330,Romige yoghurt met zomerfruit en honing,eiwit,4 g
34331,Romige yoghurt met zomerfruit en honing,vet,4 g
34332,Romige yoghurt met zomerfruit en honing,waarvan verzadigd,3 g
34333,Romige yoghurt met zomerfruit en honing,vezels,2 g
34334,Soja naturel met vers fruit en kokos,energie,375 kcal
34335,Soja naturel met vers fruit en kokos,koolhydraten,53 g
34336,Soja naturel met vers fruit en kokos,natrium,160 mg
34337,Soja naturel met vers fruit en kokos,eiwit,9 g
34338,Soja naturel met vers fruit en kokos,vet,12 g
34339,Soja naturel met vers fruit en kokos,waarvan verzadigd,6 g
34340,Soja naturel met vers fruit en kokos,vezels,8 g
34341,Tropische yoghurtsmoothieswirl,energie,135 kcal
34342,Tropische yoghurtsmoothieswirl,koolhydraten,19 g
34343,Tropische yoghurtsmoothieswirl,natrium,85 mg
34344,Tropische yoghurtsmoothieswirl,eiwit,12 g
34345,Tropische yoghurtsmoothieswirl,vezels,2 g
34346,"Smoothie met framboos, cranberry, pruimen en rode biet",energie,125 kcal
34347,"Smoothie met framboos, cranberry, pruimen en rode biet",koolhydraten,25 g
34348,"Smoothie met framboos, cranberry, pruimen en rode biet",natrium,65 mg
34349,"Smoothie met framboos, cranberry, pruimen en rode biet",eiwit,2 g
34350,"Smoothie met framboos, cranberry, pruimen en rode biet",vet,1 g
34351,"Smoothie met framboos, cranberry, pruimen en rode biet",waarvan verzadigd,0 g
34352,"Smoothie met framboos, cranberry, pruimen en rode biet",vezels,7 g
34353,Sunshine salad,energie,495 kcal
34354,Sunshine salad,koolhydraten,47 g
34355,Sunshine salad,natrium,60 mg
34356,Sunshine salad,eiwit,15 g
34357,Sunshine salad,vet,25 g
34358,Sunshine salad,waarvan verzadigd,3 g
34359,Sunshine salad,vezels,11 g
34360,Egg white omelet met forel,energie,265 kcal
34361,Egg white omelet met forel,koolhydraten,17 g
34362,Egg white omelet met forel,natrium,920 mg
34363,Egg white omelet met forel,eiwit,28 g
34364,Egg white omelet met forel,vet,9 g
34365,Egg white omelet met forel,waarvan verzadigd,1 g
34366,Egg white omelet met forel,vezels,3 g
34367,Spaghetti met spinazieballetjes,energie,760 kcal
34368,Spaghetti met spinazieballetjes,koolhydraten,85 g
34369,Spaghetti met spinazieballetjes,natrium,285 mg
34370,Spaghetti met spinazieballetjes,eiwit,31 g
34371,Spaghetti met spinazieballetjes,vet,31 g
34372,Spaghetti met spinazieballetjes,waarvan verzadigd,10 g
34373,Spaghetti met spinazieballetjes,vezels,8 g
34374,Broodje spinazieburger met spitskoolsalade,energie,545 kcal
34375,Broodje spinazieburger met spitskoolsalade,koolhydraten,40 g
34376,Broodje spinazieburger met spitskoolsalade,natrium,670 mg
34377,Broodje spinazieburger met spitskoolsalade,eiwit,26 g
34378,Broodje spinazieburger met spitskoolsalade,vet,29 g
34379,Broodje spinazieburger met spitskoolsalade,waarvan verzadigd,8 g
34380,Broodje spinazieburger met spitskoolsalade,vezels,11 g
34381,Lentestamp van spinazie en gerookte kip,energie,300 kcal
34382,Lentestamp van spinazie en gerookte kip,koolhydraten,49 g
34383,Lentestamp van spinazie en gerookte kip,natrium,185 mg
34384,Lentestamp van spinazie en gerookte kip,eiwit,18 g
34385,Lentestamp van spinazie en gerookte kip,vet,1 g
34386,Lentestamp van spinazie en gerookte kip,waarvan verzadigd,0 g
34387,Lentestamp van spinazie en gerookte kip,vezels,11 g
34388,Spinazie-panpizza met lamsworstjes en kruidensaus,energie,590 kcal
34389,Spinazie-panpizza met lamsworstjes en kruidensaus,koolhydraten,54 g
34390,Spinazie-panpizza met lamsworstjes en kruidensaus,natrium,1145 mg
34391,Spinazie-panpizza met lamsworstjes en kruidensaus,eiwit,26 g
34392,Spinazie-panpizza met lamsworstjes en kruidensaus,vet,29 g
34393,Spinazie-panpizza met lamsworstjes en kruidensaus,waarvan verzadigd,10 g
34394,Spinazie-panpizza met lamsworstjes en kruidensaus,vezels,6 g
34395,Blauwe-bessenkwark,energie,200 kcal
34396,Blauwe-bessenkwark,koolhydraten,20 g
34397,Blauwe-bessenkwark,natrium,50 mg
34398,Blauwe-bessenkwark,eiwit,13 g
34399,Blauwe-bessenkwark,vet,7 g
34400,Blauwe-bessenkwark,waarvan verzadigd,1 g
34401,Blauwe-bessenkwark,vezels,1 g
34402,Jamie Olivers goudgele kipspiesjes met gele-paprikasaus &amp; zwarte quinoa,energie,575 kcal
34403,Jamie Olivers goudgele kipspiesjes met gele-paprikasaus &amp; zwarte quinoa,koolhydraten,50 g
34404,Jamie Olivers goudgele kipspiesjes met gele-paprikasaus &amp; zwarte quinoa,natrium,75 mg
34405,Jamie Olivers goudgele kipspiesjes met gele-paprikasaus &amp; zwarte quinoa,eiwit,41 g
34406,Jamie Olivers goudgele kipspiesjes met gele-paprikasaus &amp; zwarte quinoa,vet,21 g
34407,Jamie Olivers goudgele kipspiesjes met gele-paprikasaus &amp; zwarte quinoa,waarvan verzadigd,3 g
34408,Jamie Olivers goudgele kipspiesjes met gele-paprikasaus &amp; zwarte quinoa,vezels,11 g
34409,"Jamie Olivers gebakken eieren met gepofte bonen, tomaatjes &amp; ricotta op toast",energie,380 kcal
34410,"Jamie Olivers gebakken eieren met gepofte bonen, tomaatjes &amp; ricotta op toast",koolhydraten,35 g
34411,"Jamie Olivers gebakken eieren met gepofte bonen, tomaatjes &amp; ricotta op toast",natrium,480 mg
34412,"Jamie Olivers gebakken eieren met gepofte bonen, tomaatjes &amp; ricotta op toast",eiwit,22 g
34413,"Jamie Olivers gebakken eieren met gepofte bonen, tomaatjes &amp; ricotta op toast",vet,14 g
34414,"Jamie Olivers gebakken eieren met gepofte bonen, tomaatjes &amp; ricotta op toast",waarvan verzadigd,4 g
34415,"Jamie Olivers gebakken eieren met gepofte bonen, tomaatjes &amp; ricotta op toast",vezels,10 g
34416,"Jamie Olivers geroosterde havermout met mango, blauwe bessen &amp; yoghurt",energie,420 kcal
34417,"Jamie Olivers geroosterde havermout met mango, blauwe bessen &amp; yoghurt",koolhydraten,74 g
34418,"Jamie Olivers geroosterde havermout met mango, blauwe bessen &amp; yoghurt",natrium,35 mg
34419,"Jamie Olivers geroosterde havermout met mango, blauwe bessen &amp; yoghurt",eiwit,10 g
34420,"Jamie Olivers geroosterde havermout met mango, blauwe bessen &amp; yoghurt",vet,7 g
34421,"Jamie Olivers geroosterde havermout met mango, blauwe bessen &amp; yoghurt",waarvan verzadigd,3 g
34422,"Jamie Olivers geroosterde havermout met mango, blauwe bessen &amp; yoghurt",vezels,10 g
34423,Gemberolie,energie,135 kcal
34424,Gemberolie,koolhydraten,0 g
34425,Gemberolie,natrium,0 mg
34426,Gemberolie,eiwit,0 g
34427,Gemberolie,vet,15 g
34428,Gemberolie,waarvan verzadigd,2 g
34429,Gemberolie,vezels,0 g
34430,Pittige olijfolie,energie,135 kcal
34431,Pittige olijfolie,koolhydraten,0 g
34432,Pittige olijfolie,natrium,0 mg
34433,Pittige olijfolie,eiwit,0 g
34434,Pittige olijfolie,vet,15 g
34435,Pittige olijfolie,waarvan verzadigd,2 g
34436,Pittige olijfolie,vezels,0 g
34437,Italiaanse olijfolie ,energie,135 kcal
34438,Italiaanse olijfolie ,koolhydraten,0 g
34439,Italiaanse olijfolie ,natrium,0 mg
34440,Italiaanse olijfolie ,eiwit,0 g
34441,Italiaanse olijfolie ,vet,15 g
34442,Italiaanse olijfolie ,waarvan verzadigd,2 g
34443,Italiaanse olijfolie ,vezels,0 g
34444,Tagliatelle met biefstuk en paprikatapenade,energie,635 kcal
34445,Tagliatelle met biefstuk en paprikatapenade,koolhydraten,65 g
34446,Tagliatelle met biefstuk en paprikatapenade,natrium,680 mg
34447,Tagliatelle met biefstuk en paprikatapenade,eiwit,46 g
34448,Tagliatelle met biefstuk en paprikatapenade,vet,20 g
34449,Tagliatelle met biefstuk en paprikatapenade,waarvan verzadigd,4 g
34450,Tagliatelle met biefstuk en paprikatapenade,vezels,5 g
34451,Indiase rijstschotel met omelet en amandelen,energie,815 kcal
34452,Indiase rijstschotel met omelet en amandelen,koolhydraten,77 g
34453,Indiase rijstschotel met omelet en amandelen,natrium,645 mg
34454,Indiase rijstschotel met omelet en amandelen,eiwit,22 g
34455,Indiase rijstschotel met omelet en amandelen,vet,44 g
34456,Indiase rijstschotel met omelet en amandelen,waarvan verzadigd,13 g
34457,Indiase rijstschotel met omelet en amandelen,vezels,13 g
34458,"Rijstmelksmoothie met vanille, mango en limoen",energie,285 kcal
34459,"Rijstmelksmoothie met vanille, mango en limoen",koolhydraten,60 g
34460,"Rijstmelksmoothie met vanille, mango en limoen",natrium,95 mg
34461,"Rijstmelksmoothie met vanille, mango en limoen",eiwit,2 g
34462,"Rijstmelksmoothie met vanille, mango en limoen",vet,3 g
34463,"Rijstmelksmoothie met vanille, mango en limoen",waarvan verzadigd,1 g
34464,"Rijstmelksmoothie met vanille, mango en limoen",vezels,5 g
34465,"Amandelmelksmoothie met peer, dadel en chiazaad",energie,265 kcal
34466,"Amandelmelksmoothie met peer, dadel en chiazaad",koolhydraten,47 g
34467,"Amandelmelksmoothie met peer, dadel en chiazaad",natrium,75 mg
34468,"Amandelmelksmoothie met peer, dadel en chiazaad",eiwit,4 g
34469,"Amandelmelksmoothie met peer, dadel en chiazaad",vet,5 g
34470,"Amandelmelksmoothie met peer, dadel en chiazaad",waarvan verzadigd,1 g
34471,"Amandelmelksmoothie met peer, dadel en chiazaad",vezels,8 g
34472,"Smoothie kiwi, appelsap, peer en babyboerenkool",energie,210 kcal
34473,"Smoothie kiwi, appelsap, peer en babyboerenkool",koolhydraten,45 g
34474,"Smoothie kiwi, appelsap, peer en babyboerenkool",natrium,15 mg
34475,"Smoothie kiwi, appelsap, peer en babyboerenkool",eiwit,2 g
34476,"Smoothie kiwi, appelsap, peer en babyboerenkool",vet,1 g
34477,"Smoothie kiwi, appelsap, peer en babyboerenkool",waarvan verzadigd,0 g
34478,"Smoothie kiwi, appelsap, peer en babyboerenkool",vezels,5 g
34479,"Smoothie grapefruit, blauwe bes, gember en wortel",energie,115 kcal
34480,"Smoothie grapefruit, blauwe bes, gember en wortel",koolhydraten,22 g
34481,"Smoothie grapefruit, blauwe bes, gember en wortel",natrium,40 mg
34482,"Smoothie grapefruit, blauwe bes, gember en wortel",eiwit,2 g
34483,"Smoothie grapefruit, blauwe bes, gember en wortel",vet,1 g
34484,"Smoothie grapefruit, blauwe bes, gember en wortel",waarvan verzadigd,0 g
