Unnamed: 0,recipe,nutrition,value
283,Portobellosteaks met aardappelpuree,eiwit,11 g
284,Portobellosteaks met aardappelpuree,vet,47 g
285,Portobellosteaks met aardappelpuree,waarvan verzadigd,11 g
286,Portobellosteaks met aardappelpuree,vezels,8 g
287,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,energie,390 kcal
288,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,koolhydraten,53 g
289,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,waarvan suikers,11 g
290,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,natrium,880 mg
291,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,eiwit,14 g
292,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,vet,12 g
293,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,waarvan verzadigd,3 g
294,Broodje pulled paddo's met barbecuesaus en knolselderijsalade,vezels,8 g
295,Pumpkin spice latte,energie,385 kcal
296,Pumpkin spice latte,koolhydraten,22 g
297,Pumpkin spice latte,waarvan suikers,21 g
298,Pumpkin spice latte,natrium,120 mg
299,Pumpkin spice latte,eiwit,9 g
300,Pumpkin spice latte,vet,29 g
301,Pumpkin spice latte,waarvan verzadigd,19 g
302,Pumpkin spice latte,vezels,1 g
303,Koffie-chocoladecake met kardamom,energie,530 kcal
304,Koffie-chocoladecake met kardamom,koolhydraten,42 g
305,Koffie-chocoladecake met kardamom,waarvan suikers,29 g
306,Koffie-chocoladecake met kardamom,natrium,400 mg
307,Koffie-chocoladecake met kardamom,eiwit,10 g
308,Koffie-chocoladecake met kardamom,vet,35 g
309,Koffie-chocoladecake met kardamom,waarvan verzadigd,18 g
310,Koffie-chocoladecake met kardamom,vezels,4 g
311,Stoofperencompote,energie,105 kcal
312,Stoofperencompote,koolhydraten,23 g
313,Stoofperencompote,waarvan suikers,16 g
314,Stoofperencompote,vezels,2 g
315,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",energie,385 kcal
316,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",koolhydraten,36 g
317,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",waarvan suikers,21 g
318,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",natrium,480 mg
319,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",eiwit,26 g
320,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",vet,12 g
321,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",waarvan verzadigd,3 g
322,"Traybake van peer, varkenslapjes, rode ui, tijm en knolselderij",vezels,15 g
323,Vegan curry van gestoofde groenten met naan,energie,885 kcal
324,Vegan curry van gestoofde groenten met naan,koolhydraten,101 g
325,Vegan curry van gestoofde groenten met naan,waarvan suikers,23 g
326,Vegan curry van gestoofde groenten met naan,natrium,1160 mg
327,Vegan curry van gestoofde groenten met naan,eiwit,26 g
328,Vegan curry van gestoofde groenten met naan,vet,36 g
329,Vegan curry van gestoofde groenten met naan,waarvan verzadigd,14 g
330,Vegan curry van gestoofde groenten met naan,vezels,25 g
331,Hutspot met hertenbiefstuk,energie,710 kcal
332,Hutspot met hertenbiefstuk,koolhydraten,55 g
333,Hutspot met hertenbiefstuk,waarvan suikers,14 g
334,Hutspot met hertenbiefstuk,natrium,280 mg
335,Hutspot met hertenbiefstuk,eiwit,35 g
336,Hutspot met hertenbiefstuk,vet,36 g
337,Hutspot met hertenbiefstuk,waarvan verzadigd,17 g
338,Hutspot met hertenbiefstuk,vezels,12 g
339,Plaattaart met kip en pompoen,energie,670 kcal
340,Plaattaart met kip en pompoen,koolhydraten,40 g
341,Plaattaart met kip en pompoen,waarvan suikers,12 g
342,Plaattaart met kip en pompoen,natrium,720 mg
343,Plaattaart met kip en pompoen,eiwit,31 g
344,Plaattaart met kip en pompoen,vet,41 g
345,Plaattaart met kip en pompoen,waarvan verzadigd,13 g
346,Plaattaart met kip en pompoen,vezels,5 g
347,Vega stoofpotje met knolselderij en kastanjechampignons,energie,650 kcal
348,Vega stoofpotje met knolselderij en kastanjechampignons,koolhydraten,55 g
349,Vega stoofpotje met knolselderij en kastanjechampignons,waarvan suikers,4 g
350,Vega stoofpotje met knolselderij en kastanjechampignons,natrium,520 mg
351,Vega stoofpotje met knolselderij en kastanjechampignons,eiwit,16 g
352,Vega stoofpotje met knolselderij en kastanjechampignons,vet,38 g
353,Vega stoofpotje met knolselderij en kastanjechampignons,waarvan verzadigd,8 g
354,Vega stoofpotje met knolselderij en kastanjechampignons,vezels,11 g
355,Wilde rijstsoep met kip,energie,565 kcal
356,Wilde rijstsoep met kip,koolhydraten,73 g
357,Wilde rijstsoep met kip,waarvan suikers,8 g
358,Wilde rijstsoep met kip,natrium,1320 mg
359,Wilde rijstsoep met kip,eiwit,28 g
360,Wilde rijstsoep met kip,vet,17 g
361,Wilde rijstsoep met kip,waarvan verzadigd,7 g
362,Wilde rijstsoep met kip,vezels,5 g
363,"Zuurkoolstamppot met appel, kaneel en bruine suiker",energie,620 kcal
364,"Zuurkoolstamppot met appel, kaneel en bruine suiker",koolhydraten,51 g
365,"Zuurkoolstamppot met appel, kaneel en bruine suiker",waarvan suikers,13 g
366,"Zuurkoolstamppot met appel, kaneel en bruine suiker",natrium,1280 mg
367,"Zuurkoolstamppot met appel, kaneel en bruine suiker",eiwit,20 g
368,"Zuurkoolstamppot met appel, kaneel en bruine suiker",vet,35 g
369,"Zuurkoolstamppot met appel, kaneel en bruine suiker",waarvan verzadigd,10 g
370,"Zuurkoolstamppot met appel, kaneel en bruine suiker",vezels,10 g
371,Pompoencheesecake met speculaas,energie,360 kcal
372,Pompoencheesecake met speculaas,koolhydraten,24 g
373,Pompoencheesecake met speculaas,waarvan suikers,16 g
374,Pompoencheesecake met speculaas,natrium,320 mg
375,Pompoencheesecake met speculaas,eiwit,5 g
376,Pompoencheesecake met speculaas,vet,27 g
377,Pompoencheesecake met speculaas,waarvan verzadigd,16 g
378,Pompoencheesecake met speculaas,vezels,1 g
379,Franse appelflap (chausson aux pommes),energie,270 kcal
380,Franse appelflap (chausson aux pommes),koolhydraten,40 g
381,Franse appelflap (chausson aux pommes),waarvan suikers,23 g
382,Franse appelflap (chausson aux pommes),natrium,80 mg
383,Franse appelflap (chausson aux pommes),eiwit,4 g
384,Franse appelflap (chausson aux pommes),vet,10 g
385,Franse appelflap (chausson aux pommes),waarvan verzadigd,6 g
386,Franse appelflap (chausson aux pommes),vezels,1 g
387,Brownies met witte chocolade,energie,490 kcal
388,Brownies met witte chocolade,koolhydraten,44 g
389,Brownies met witte chocolade,waarvan suikers,31 g
390,Brownies met witte chocolade,natrium,120 mg
391,Brownies met witte chocolade,eiwit,7 g
392,Brownies met witte chocolade,vet,31 g
393,Brownies met witte chocolade,waarvan verzadigd,20 g
394,Brownies met witte chocolade,vezels,4 g
395,Meringuespoken,energie,95 kcal
396,Meringuespoken,koolhydraten,23 g
397,Meringuespoken,waarvan suikers,22 g
398,Meringuespoken,natrium,40 mg
399,Meringuespoken,eiwit,1 g
400,Zandkoekjes met glazuur 'bloedspetters' ,energie,125 kcal
401,Zandkoekjes met glazuur 'bloedspetters' ,koolhydraten,15 g
402,Zandkoekjes met glazuur 'bloedspetters' ,waarvan suikers,7 g
